"Geographic Area Name (NAME)","Vintage Month Description (MONTH_DESC)","Vintage Year (YEAR)","Age Group (AGE_DESC)","Universe Description (UNIVERSE_DESC)","Sex (SEX_DESC)","Population Estimate (POP)"
"New Hampshire","July","2023","Age 16 and older","Resident Population","Female","595,360"
"New Hampshire","July","2023","Age 18-24","Resident Population","Male","60,861"
"New Hampshire","July","2023","Age 18-24","Resident Population","Female","58,973"
"New Hampshire","July","2023","Age 18 and older","Resident Population","Male","570,405"
"New Hampshire","July","2023","Age 18 and older","Resident Population","Female","579,599"
"New Hampshire","July","2023","Age 20-24","Resident Population","Male","43,491"
"New Hampshire","July","2023","Age 20-24","Resident Population","Female","41,678"
"New Hampshire","July","2023","Age 25-29","Resident Population","Male","44,468"
"New Hampshire","July","2023","Age 25-29","Resident Population","Female","40,703"
"New Hampshire","July","2023","Age 25-44","Resident Population","Male","182,864"
"New Hampshire","July","2023","Age 25-44","Resident Population","Female","172,315"
"New Hampshire","July","2023","Age 30-34","Resident Population","Male","48,112"
"New Hampshire","July","2023","Age 30-34","Resident Population","Female","45,260"
"New Hampshire","July","2023","Age 35-39","Resident Population","Male","46,634"
"New Hampshire","July","2023","Age 35-39","Resident Population","Female","44,434"
"New Hampshire","July","2023","Age 40-44","Resident Population","Male","43,650"
"New Hampshire","July","2023","Age 40-44","Resident Population","Female","41,918"
"New Hampshire","July","2023","Age 45-49","Resident Population","Male","38,831"
"New Hampshire","July","2023","Age 45-49","Resident Population","Female","38,760"
"New Hampshire","July","2023","Age 45-64","Resident Population","Male","190,614"
"New Hampshire","July","2023","Age 45-64","Resident Population","Female","192,851"
"New Hampshire","July","2023","Age 50-54","Resident Population","Male","46,062"
"New Hampshire","July","2023","Age 50-54","Resident Population","Female","45,936"
"New Hampshire","July","2023","Age 55-59","Resident Population","Male","50,571"
"New Hampshire","July","2023","Age 55-59","Resident Population","Female","51,421"
"New Hampshire","July","2023","Age 60-64","Resident Population","Male","55,150"
"New Hampshire","July","2023","Age 60-64","Resident Population","Female","56,734"
"New Hampshire","July","2023","Age 65-69","Resident Population","Male","48,328"
"New Hampshire","July","2023","Age 65-69","Resident Population","Female","50,287"
"New Hampshire","July","2023","Age 65 and older","Resident Population","Male","136,066"
"New Hampshire","July","2023","Age 65 and older","Resident Population","Female","155,460"
"New Hampshire","July","2023","Age 70-74","Resident Population","Male","37,040"
"New Hampshire","July","2023","Age 70-74","Resident Population","Female","39,795"
"New Hampshire","July","2023","Age 75-79","Resident Population","Male","25,996"
"New Hampshire","July","2023","Age 75-79","Resident Population","Female","29,070"
"New Hampshire","July","2023","Age 80-84","Resident Population","Male","14,270"
"New Hampshire","July","2023","Age 80-84","Resident Population","Female","17,881"
"New Hampshire","July","2023","85 years and over","Resident Population","Male","10,432"
"New Hampshire","July","2023","85 years and over","Resident Population","Female","18,427"
"New Jersey","July","2023","Age under 5","Resident Population","Male","265,682"
"New Jersey","July","2023","Age under 5","Resident Population","Female","253,388"
"New Jersey","July","2023","Age 5-9","Resident Population","Male","283,351"
"New Jersey","July","2023","Age 5-9","Resident Population","Female","269,677"
"New Jersey","July","2023","Age 5-13","Resident Population","Male","515,782"
"New Jersey","July","2023","Age 5-13","Resident Population","Female","491,698"
"New Jersey","July","2023","Age 10-14","Resident Population","Male","292,585"
"New Jersey","July","2023","Age 10-14","Resident Population","Female","279,660"
"New Jersey","July","2023","Age 14-17","Resident Population","Male","246,889"
"New Jersey","July","2023","Age 14-17","Resident Population","Female","236,851"
"New Jersey","July","2023","Age 15-19","Resident Population","Male","300,672"
"New Jersey","July","2023","Age 15-19","Resident Population","Female","285,171"
